email_id,model_name,ground_truth_is_phishing,ground_truth_content,predicted_is_phishing,prompt_technique,result_file,timestamp
phish_1,llama3:8b,True,"Account Security Alert: Your Facebook password needs to be changed immediately. 
        Click to reset: http://fb-security-update.xyz/reset-password
        Failure to respond within 12 hours will result in account suspension.",True,AUTOMATE,phishing_experiment_results/AUTOMATE_phish_1_llama3:8b_20250410_142510.txt,2025-04-10 14:25:10
phish_1,llama3:8b,True,"Account Security Alert: Your Facebook password needs to be changed immediately. 
        Click to reset: http://fb-security-update.xyz/reset-password
        Failure to respond within 12 hours will result in account suspension.",True,Few-Shot,phishing_experiment_results/Few-Shot_phish_1_llama3:8b_20250410_142520.txt,2025-04-10 14:25:20
phish_1,llama3:8b,True,"Account Security Alert: Your Facebook password needs to be changed immediately. 
        Click to reset: http://fb-security-update.xyz/reset-password
        Failure to respond within 12 hours will result in account suspension.",True,Chain-of-Thought,phishing_experiment_results/Chain-of-Thought_phish_1_llama3:8b_20250410_142535.txt,2025-04-10 14:25:35
phish_1,llama3:8b,True,"Account Security Alert: Your Facebook password needs to be changed immediately. 
        Click to reset: http://fb-security-update.xyz/reset-password
        Failure to respond within 12 hours will result in account suspension.",True,Multi-Prompt,phishing_experiment_results/Multi-Prompt_phish_1_llama3:8b_20250410_142607.txt,2025-04-10 14:26:07
phish_1,llama3:8b,True,"Account Security Alert: Your Facebook password needs to be changed immediately. 
        Click to reset: http://fb-security-update.xyz/reset-password
        Failure to respond within 12 hours will result in account suspension.",True,Two-Step,phishing_experiment_results/Two-Step_phish_1_llama3:8b_20250410_142627.txt,2025-04-10 14:26:27
phish_2,llama3:8b,True,"Invoice #INV-98452 Payment Overdue - URGENT
        Please review the attached invoice and make payment through our secure portal:
        https://payment-portal-invoices.com/pay-now
        Your account will be charged automatically in 48 hours.",True,AUTOMATE,phishing_experiment_results/AUTOMATE_phish_2_llama3:8b_20250410_142639.txt,2025-04-10 14:26:39
phish_2,llama3:8b,True,"Invoice #INV-98452 Payment Overdue - URGENT
        Please review the attached invoice and make payment through our secure portal:
        https://payment-portal-invoices.com/pay-now
        Your account will be charged automatically in 48 hours.",True,Few-Shot,phishing_experiment_results/Few-Shot_phish_2_llama3:8b_20250410_142649.txt,2025-04-10 14:26:49
phish_2,llama3:8b,True,"Invoice #INV-98452 Payment Overdue - URGENT
        Please review the attached invoice and make payment through our secure portal:
        https://payment-portal-invoices.com/pay-now
        Your account will be charged automatically in 48 hours.",True,Chain-of-Thought,phishing_experiment_results/Chain-of-Thought_phish_2_llama3:8b_20250410_142706.txt,2025-04-10 14:27:06
phish_2,llama3:8b,True,"Invoice #INV-98452 Payment Overdue - URGENT
        Please review the attached invoice and make payment through our secure portal:
        https://payment-portal-invoices.com/pay-now
        Your account will be charged automatically in 48 hours.",True,Multi-Prompt,phishing_experiment_results/Multi-Prompt_phish_2_llama3:8b_20250410_142742.txt,2025-04-10 14:27:42
phish_2,llama3:8b,True,"Invoice #INV-98452 Payment Overdue - URGENT
        Please review the attached invoice and make payment through our secure portal:
        https://payment-portal-invoices.com/pay-now
        Your account will be charged automatically in 48 hours.",True,Two-Step,phishing_experiment_results/Two-Step_phish_2_llama3:8b_20250410_142805.txt,2025-04-10 14:28:05
legit_1,llama3:8b,False,"Meeting Confirmation: Project Kickoff - March 5, 2:00 PM EST
        Hi Team, Please confirm your attendance for the project kickoff meeting.
        Agenda and dial-in details attached. Best, Michael Chen",True,AUTOMATE,phishing_experiment_results/AUTOMATE_legit_1_llama3:8b_20250410_142813.txt,2025-04-10 14:28:13
legit_1,llama3:8b,False,"Meeting Confirmation: Project Kickoff - March 5, 2:00 PM EST
        Hi Team, Please confirm your attendance for the project kickoff meeting.
        Agenda and dial-in details attached. Best, Michael Chen",True,Few-Shot,phishing_experiment_results/Few-Shot_legit_1_llama3:8b_20250410_142820.txt,2025-04-10 14:28:20
legit_1,llama3:8b,False,"Meeting Confirmation: Project Kickoff - March 5, 2:00 PM EST
        Hi Team, Please confirm your attendance for the project kickoff meeting.
        Agenda and dial-in details attached. Best, Michael Chen",False,Chain-of-Thought,phishing_experiment_results/Chain-of-Thought_legit_1_llama3:8b_20250410_142832.txt,2025-04-10 14:28:32
legit_1,llama3:8b,False,"Meeting Confirmation: Project Kickoff - March 5, 2:00 PM EST
        Hi Team, Please confirm your attendance for the project kickoff meeting.
        Agenda and dial-in details attached. Best, Michael Chen",True,Multi-Prompt,phishing_experiment_results/Multi-Prompt_legit_1_llama3:8b_20250410_142907.txt,2025-04-10 14:29:07
legit_1,llama3:8b,False,"Meeting Confirmation: Project Kickoff - March 5, 2:00 PM EST
        Hi Team, Please confirm your attendance for the project kickoff meeting.
        Agenda and dial-in details attached. Best, Michael Chen",True,Two-Step,phishing_experiment_results/Two-Step_legit_1_llama3:8b_20250410_142933.txt,2025-04-10 14:29:33
legit_2,llama3:8b,False,"Newsletter Subscription Confirmation
        Thank you for subscribing to The Daily Tech Digest!
        You can update your preferences anytime using your account settings.",True,AUTOMATE,phishing_experiment_results/AUTOMATE_legit_2_llama3:8b_20250410_142943.txt,2025-04-10 14:29:43
legit_2,llama3:8b,False,"Newsletter Subscription Confirmation
        Thank you for subscribing to The Daily Tech Digest!
        You can update your preferences anytime using your account settings.",True,Few-Shot,phishing_experiment_results/Few-Shot_legit_2_llama3:8b_20250410_142950.txt,2025-04-10 14:29:50
legit_2,llama3:8b,False,"Newsletter Subscription Confirmation
        Thank you for subscribing to The Daily Tech Digest!
        You can update your preferences anytime using your account settings.",True,Chain-of-Thought,phishing_experiment_results/Chain-of-Thought_legit_2_llama3:8b_20250410_143004.txt,2025-04-10 14:30:04
legit_2,llama3:8b,False,"Newsletter Subscription Confirmation
        Thank you for subscribing to The Daily Tech Digest!
        You can update your preferences anytime using your account settings.",True,Multi-Prompt,phishing_experiment_results/Multi-Prompt_legit_2_llama3:8b_20250410_143031.txt,2025-04-10 14:30:31
legit_2,llama3:8b,False,"Newsletter Subscription Confirmation
        Thank you for subscribing to The Daily Tech Digest!
        You can update your preferences anytime using your account settings.",True,Two-Step,phishing_experiment_results/Two-Step_legit_2_llama3:8b_20250410_143055.txt,2025-04-10 14:30:55
phish_1,mistral:7b,True,"Account Security Alert: Your Facebook password needs to be changed immediately. 
        Click to reset: http://fb-security-update.xyz/reset-password
        Failure to respond within 12 hours will result in account suspension.",True,AUTOMATE,phishing_experiment_results/AUTOMATE_phish_1_mistral:7b_20250410_143109.txt,2025-04-10 14:31:09
phish_1,mistral:7b,True,"Account Security Alert: Your Facebook password needs to be changed immediately. 
        Click to reset: http://fb-security-update.xyz/reset-password
        Failure to respond within 12 hours will result in account suspension.",True,Few-Shot,phishing_experiment_results/Few-Shot_phish_1_mistral:7b_20250410_143113.txt,2025-04-10 14:31:13
phish_1,mistral:7b,True,"Account Security Alert: Your Facebook password needs to be changed immediately. 
        Click to reset: http://fb-security-update.xyz/reset-password
        Failure to respond within 12 hours will result in account suspension.",True,Chain-of-Thought,phishing_experiment_results/Chain-of-Thought_phish_1_mistral:7b_20250410_143124.txt,2025-04-10 14:31:24
phish_1,mistral:7b,True,"Account Security Alert: Your Facebook password needs to be changed immediately. 
        Click to reset: http://fb-security-update.xyz/reset-password
        Failure to respond within 12 hours will result in account suspension.",True,Multi-Prompt,phishing_experiment_results/Multi-Prompt_phish_1_mistral:7b_20250410_143153.txt,2025-04-10 14:31:53
phish_1,mistral:7b,True,"Account Security Alert: Your Facebook password needs to be changed immediately. 
        Click to reset: http://fb-security-update.xyz/reset-password
        Failure to respond within 12 hours will result in account suspension.",True,Two-Step,phishing_experiment_results/Two-Step_phish_1_mistral:7b_20250410_143213.txt,2025-04-10 14:32:13
